PROJECT NO  : PRJ8803_QFN56_PSRAM,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
,,1,GND_OSC,-,,L,G,,,OSC
1,VDD33_ANA,2,VDD33_OSC,-,L,L,P,,,OSC
1,VDD33_ANA,3,VDD33_PLL,-,L,L,P,,,PLL
,,4,GND_PLL,-,,L,G,,,PLL
1,VDD33_ANA,5,PAD_RX_VDDA33,-,L,L,P,,,RX
,,6,PAD_RX_VLDO11,-,,L,P,,,RX
,,7,PAD_RX_VSSA11,-,,L,G,,,RX
2,MIPI_CSI_RX_L0P,8,MIPI_CSI_RX_L0P,-,L,L,,,,RX
3,MIPI_CSI_RX_L0N,9,MIPI_CSI_RX_L0N,-,L,L,,,,RX
,,10,PAD_RX_VSSA11,-,,L,G,,,RX
4,MIPI_CSI_RX_L1P,11,MIPI_CSI_RX_L1P,-,L,L,,,,RX
5,MIPI_CSI_RX_L1N,12,MIPI_CSI_RX_L1N,-,L,L,,,,RX
,,13,PAD_RX_VSSA11,-,,L,G,,,RX
6,MIPI_CSI_RX_CLKP,14,MIPI_CSI_RX_CLKP,-,L,L,,,,RX
7,MIPI_CSI_RX_CLKN,15,MIPI_CSI_RX_CLKN,-,L,L,,,,RX
,,16,PAD_RX_VSSA11,-,,L,G,,,RX
8,VDD11,17,,-,L,L,P,,,
9,VDD33,18,VDD33_IOB,-,L,L,P,,,
10,BOOT0_PIO_0,19,PAD_VTEST,-,L,L,,,,
10,BOOT0_PIO_0,20,PIO_0,-,L,L,,,,
11,BOOT1_PIO_1,21,PIO_1,-,L,B,,,,
12,BOOT2_PIO_2,22,PIO_2,-,L,B,,,,
13,TEST,23,TEST,-,L,B,,,,
14,RESETN,24,RESETN,-,L,B,,,,
15,LDO_EN,25,LDO_EN,-,B,B,,,,LDO
16,PIO_3,26,PIO_3,-,B,B,,,,
17,PIO_4,27,PIO_4,-,B,B,,,,
18,PIO_5,28,PIO_5,-,B,B,,,,
19,PIO_6,29,PIO_6,-,B,B,,,,
20,VBAT,30,VDD33_BAT,-,B,B,P,,,RTC
,,31,VBAT_PIO_0,-,,B,,,,RTC
,,32,VBAT_PIO_1,-,,B,,,,RTC
,,33,VBAT_PIO_2,-,,B,,,,RTC
21,VBAT_PIO_0,34,VBAT_PIO_3,-,B,B,,,,RTC
22,VBAT_PIO_1,35,VBAT_PIO_4,-,B,B,,,,RTC
,,36,VBAT_PIO_5,-,,B,,,,RTC
,,37,VBAT_PIO_6,-,,B,,,,RTC
23,VBAT_PIO_2,38,VBAT_PIO_7,-,B,B,,,,RTC
,,39,GND_XTAL,-,,B,G,,,RTC
23,VBAT_PIO_2,40,LEXT_IN,-,B,B,,,,RTC
24,VBAT_PIO_3,41,LEXT_OUT,-,B,B,,,,RTC
24,VBAT_PIO_3,42,VBAT_PIO_8,-,B,B,,,,RTC
